iter	Passed	Remaining
720	322589	124829
721	323074	124397
722	323558	123963
723	324089	123548
724	324577	123115
725	325088	122691
726	325622	122276
727	326068	121827
728	326791	121482
729	327444	121109
730	328230	120785
731	328799	120380
732	329394	119983
733	329844	119534
734	330320	119095
735	330856	118676
736	331334	118237
737	331690	117754
738	332130	117301
739	332710	116898
740	333142	116442
741	333615	116000
742	334124	115571
743	334654	115150
744	335159	114719
745	335698	114299
746	336333	113912
747	336996	113533
748	337577	113126
749	338168	112722
750	338836	112344
751	339537	111975
752	340064	111548
753	340655	111142
754	341108	110690
755	341533	110230
756	342007	109785
757	342523	109354
758	343187	108969
759	343719	108543
760	344156	108086
761	344697	107661
762	345188	107220
763	345741	106799
764	346199	106348
765	346638	105892
766	347170	105463
767	347649	105019
768	348061	104554
769	348469	104088
770	348891	103626
771	349365	103180
772	349858	102739
773	350334	102294
774	350756	101832
775	351126	101356
776	351536	100891
777	351977	100435
778	352399	99974
779	352915	99540
780	353400	99096
781	353805	98631
782	354197	98162
783	354596	97694
784	355004	97230
785	355407	96764
786	355792	96294
787	356196	95829
788	356594	95363
789	357038	94908
790	357424	94439
791	357839	93977
792	358281	93523
793	358683	93058
794	359049	92584
795	359478	92127
796	359863	91659
797	360308	91205
798	360621	90719
799	360957	90239
800	361322	89766
801	361716	89301
802	362074	88827
803	362484	88366
804	362854	87896
805	363208	87422
806	363667	86973
807	364092	86517
808	364462	86047
809	364837	85579
810	365148	85096
811	365529	84629
812	365941	84171
813	366297	83699
814	366703	83239
815	367146	82788
816	367570	82332
817	367945	81865
818	368295	81393
819	368651	80923
820	369062	80465
821	369386	79988
822	369743	79519
823	370100	79050
824	370533	78598
825	370879	78127
826	371292	77670
827	371671	77207
828	372029	76739
829	372432	76281
830	372774	75810
831	373103	75338
832	373467	74872
833	373793	74400
834	374085	73921
835	374476	73461
836	374845	72998
837	375208	72534
838	375562	72068
839	375897	71599
840	376253	71134
841	376555	70660
842	376919	70197
843	377288	69735
844	377692	69280
845	378088	68824
846	378491	68369
847	378913	67918
848	379257	67453
849	379569	66982
850	379918	66519
851	380303	66062
852	380842	65631
853	381222	65173
854	381596	64715
855	381970	64256
856	382355	63800
857	382664	63331
858	383024	62871
859	383386	62411
860	383750	61952
861	384134	61497
862	384480	61035
863	384851	60578
864	385260	60127
865	385611	59667
866	385970	59208
867	386297	58745
868	386622	58282
869	387035	57832
870	387425	57379
871	387788	56923
872	388129	56463
873	388443	55999
874	388795	55542
875	389265	55101
876	389733	54660
877	390291	54231
878	390776	53792
879	391252	53352
880	391676	52905
