iter	Passed	Remaining
676	268012	127870
677	268362	127452
678	268674	127016
679	269042	126608
680	269430	126208
681	269864	125831
682	270157	125388
683	270508	124971
684	270829	124542
685	271239	124153
686	271616	123749
687	272007	123352
688	272370	122942
689	272749	122539
690	273135	122140
691	273498	121730
692	273847	121314
693	274223	120911
694	274638	120525
695	275057	120140
696	275469	119752
697	275832	119342
698	276228	118948
699	276651	118564
700	277059	118175
701	277577	117831
702	278007	117451
703	278403	117055
704	278776	116651
705	279124	116236
706	279432	115804
707	279780	115389
708	280120	114971
709	280461	114554
710	280820	114144
711	281185	113737
712	281541	113327
713	281872	112906
714	282232	112498
715	282572	112081
716	282952	111681
717	283317	111275
718	283642	110853
719	283979	110436
720	284347	110031
721	284699	109621
722	285059	109213
723	285412	108803
724	285778	108398
725	286157	107998
726	286512	107590
727	286849	107174
728	287184	106758
729	287500	106335
730	287834	105919
731	288199	105515
732	288563	105111
733	288906	104698
734	289261	104291
735	289604	103879
736	289949	103469
737	290279	103053
738	290635	102646
739	290956	102227
740	291319	101824
741	291716	101432
742	292084	101030
743	292434	100622
744	292742	100200
745	293036	99773
746	293343	99351
747	293707	98949
748	294059	98543
749	294391	98130
750	294725	97718
751	295079	97313
752	295439	96910
753	295797	96506
754	296075	96077
755	296411	95667
756	296746	95256
757	297099	94852
758	297444	94445
759	297800	94042
760	298156	93639
761	298539	93244
762	298850	92827
763	299190	92420
764	299544	92016
765	299874	91606
766	300207	91197
767	300548	90790
768	300911	90390
769	301228	89977
770	301553	89566
771	301878	89155
772	302252	88759
773	302577	88349
774	302914	87942
775	303261	87539
776	303592	87131
777	303939	86728
778	304305	86330
779	304687	85937
780	305027	85532
781	305376	85130
782	305740	84732
783	306066	84324
784	306396	83917
785	306724	83510
786	307032	83097
787	307367	82692
788	307685	82283
789	308058	81888
790	308407	81488
791	308809	81101
792	309148	80698
793	309488	80295
794	309820	79890
795	310146	79484
796	310490	79083
797	310822	78679
798	311175	78280
799	311520	77880
800	311875	77482
801	312223	77082
802	312554	76679
803	312872	76272
804	313213	75871
805	313558	75471
806	313912	75074
807	314275	74679
808	314590	74272
809	314932	73873
810	315284	73475
811	315662	73084
812	316032	72691
813	316379	72293
814	316730	71895
815	317103	71503
816	317459	71107
817	317806	70710
818	318146	70310
819	318445	69902
820	318813	69509
821	319237	69129
822	319595	68734
823	319942	68337
824	320244	67930
825	320545	67524
826	320880	67124
827	321202	66723
828	321571	66331
829	321902	65931
830	322224	65530
831	322611	65142
832	322981	64751
833	323361	64362
834	323691	63963
835	324039	63567
836	324333	63161
837	324654	62761
838	325057	62376
839	325425	61985
840	325761	61588
841	326166	61204
842	326506	60808
843	326843	60411
844	327178	60014
845	327562	59627
846	327890	59229
847	328231	58833
848	328556	58435
849	328901	58041
850	329239	57645
851	329685	57269
852	329999	56869
853	330342	56475
854	330701	56083
855	331045	55689
856	331367	55292
857	331718	54899
858	332028	54500
859	332376	54107
860	332742	53718
861	333105	53327
862	333436	52932
863	333782	52539
864	334114	52144
865	334450	51751
866	334721	51347
867	335061	50954
868	335413	50562
869	335746	50169
870	336102	49778
871	336483	49392
872	336836	49001
873	337168	48607
874	337495	48213
875	337834	47821
876	338166	47428
877	338499	47035
878	338793	46637
879	339112	46242
880	339427	45847
881	339787	45459
882	340158	45071
883	340492	44679
884	340801	44284
885	341136	43893
886	341477	43502
887	341849	43116
888	342206	42727
889	342540	42336
890	342873	41945
891	343252	41559
892	343604	41171
893	343931	40779
894	344301	40392
895	344612	39999
896	344964	39611
897	345317	39223
898	345679	38836
899	346017	38446
900	346343	38055
901	346696	37667
902	347057	37280
903	347399	36891
904	347758	36505
905	348087	36115
906	348429	35726
907	348734	35334
908	349099	34948
909	349441	34560
910	349791	34172
911	350182	33789
912	350537	33402
913	350859	33013
914	351186	32623
915	351506	32234
916	351836	31845
917	352191	31459
918	352509	31069
919	352870	30684
920	353266	30301
921	353643	29917
922	353993	29531
923	354350	29145
924	354704	28759
925	355064	28374
926	355436	27990
927	355795	27604
928	356139	27218
929	356507	26833
930	356870	26449
931	357267	26066
932	357582	25678
933	357927	25292
934	358266	24906
935	358644	24522
936	359012	24138
937	359346	23752
938	359671	23365
939	360006	22979
940	360326	22592
941	360710	22209
942	361019	21821
943	361337	21435
944	361703	21051
945	362046	20666
946	362345	20279
947	362672	19893
948	362999	19507
949	363332	19122
950	363683	18738
951	364085	18357
952	364418	17972
953	364794	17589
954	365142	17205
955	365474	16820
956	365787	16435
957	366120	16051
958	366459	15667
959	366789	15282
960	367149	14899
961	367546	14518
962	367866	14134
963	368213	13750
964	368528	13366
965	368814	12981
966	369147	12597
967	369472	12213
968	369811	11830
969	370156	11448
970	370491	11065
971	370895	10684
972	371222	10301
973	371519	9917
974	371866	9535
975	372194	9152
